mesh,group,ranking,top_k,local_cell_count,local_budget_fraction,tomo_best_vss,local_best_ratio
Group_D8_37402,D,tuned,5,1974,0.015147213419172658,7554.828628035616,1.848646521256172
Group_D8_37402,D,tuned,10,3627,0.027831278151640947,7554.828628035616,1.2877379564790905
Group_D8_37402,D,tuned,20,6618,0.05078229909224147,7554.828628035616,1.2877379564790905
Group_D8_37402,D,rtilde,5,1335,0.010243936126948074,7554.828628035616,1.0775512713746465
Group_D8_37402,D,rtilde,10,1838,0.014103636405491057,7554.828628035616,1.0775512713746465
Group_D8_37402,D,rtilde,20,2957,0.022690126687180116,7554.828628035616,1.0775512713746465
Group_D9_37415,D,tuned,5,2121,0.016275197397196153,9546.048385052642,1.8475937476295081
Group_D9_37415,D,tuned,10,3927,0.030133286270056247,9546.048385052642,1.5348815128214257
Group_D9_37415,D,tuned,20,7732,0.059330422571956934,9546.048385052642,1.4167926026722892
Group_D9_37415,D,rtilde,5,1523,0.011686527881154995,9546.048385052642,1.3014489477983517
Group_D9_37415,D,rtilde,10,2701,0.020725746426132396,9546.048385052642,1.3014489477983517
Group_D9_37415,D,rtilde,20,4847,0.037192777833196494,9546.048385052642,1.3014489477983517
Group_E10_65942,E,tuned,5,1181,0.009062238626161555,571.0000587888985,10.906619672653717
Group_E10_65942,E,tuned,10,1969,0.01510884661719907,571.0000587888985,10.001470468028536
Group_E10_65942,E,tuned,20,5173,0.03969429332187445,571.0000587888985,5.331558189275419
Group_E10_65942,E,rtilde,5,2062,0.01582246913390781,571.0000587888985,11.470261412464557
Group_E10_65942,E,rtilde,10,3165,0.02428618564928139,571.0000587888985,10.906619672653717
Group_E10_65942,E,rtilde,20,4793,0.036778416371881735,571.0000587888985,10.906619672653717
Group_E1_39507,E,tuned,5,1191,0.009138972230108731,441.6001606578669,4.919836039766645
Group_E1_39507,E,tuned,10,1834,0.014072942963912186,441.6001606578669,4.760234581877561
Group_E1_39507,E,tuned,20,3452,0.02648844008256536,441.6001606578669,3.134331575647134
Group_E1_39507,E,rtilde,5,1860,0.014272450334174845,441.6001606578669,3.134331575647134
Group_E1_39507,E,rtilde,10,2466,0.018922506733373746,441.6001606578669,3.134331575647134
Group_E1_39507,E,rtilde,20,3359,0.025774817565856617,441.6001606578669,3.134331575647134
Group_E2_790253,E,tuned,5,1538,0.011801628287075759,67435.0489856648,2.7641339510303964
Group_E2_790253,E,tuned,10,3285,0.02520698889664751,67435.0489856648,2.7641339510303964
Group_E2_790253,E,tuned,20,7127,0.05468803953315275,67435.0489856648,2.7435616673823238
Group_E2_790253,E,rtilde,5,1268,0.00972982098050199,67435.0489856648,2.846080636183115
Group_E2_790253,E,rtilde,10,2495,0.01914503418482056,67435.0489856648,2.7338116854541936
Group_E2_790253,E,rtilde,20,5245,0.04024677527029412,67435.0489856648,1.8530958528639998
Group_E4_439142,E,tuned,5,2142,0.016436337965485225,19892.645276282445,1.002951544276334
Group_E4_439142,E,tuned,10,3392,0.026028038458882297,19892.645276282445,1.002951544276334
Group_E4_439142,E,tuned,20,6476,0.049692681916191556,19892.645276282445,1.002951544276334
Group_E4_439142,E,rtilde,5,1344,0.010312996370500533,19892.645276282445,1.0586630072985297
Group_E4_439142,E,rtilde,10,2114,0.016221483874433132,19892.645276282445,1.0586630072985297
Group_E4_439142,E,rtilde,20,3469,0.02661888720927556,19892.645276282445,1.047000257138363
