stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_D1_37009,D,D1,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,True,1292,1060.6003694297854,True,usable
Group_D1_37009,D,D1,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,True,1292,-941.0798795952285,False,nonpositive_tomo_best
Group_D2_37010,D,D2,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,True,1292,8219.800704766896,True,usable
Group_D2_37010,D,D2,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,True,1292,-4474.440389428257,False,nonpositive_tomo_best
Group_D2_37010,D,D2,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,True,1292,-4550.199863339259,False,nonpositive_tomo_best
Group_D2_37010,D,D2,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,True,1292,-4553.5598904633325,False,nonpositive_tomo_best
Group_D3_37011,D,D3,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,True,1292,9313.420815901323,True,usable
Group_D3_37011,D,D3,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,True,1292,7962.745575865438,True,usable
Group_D3_37011,D,D3,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,True,1292,1899.2006532416856,True,usable
Group_D3_37011,D,D3,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,True,1292,103.72001739326588,True,usable
Group_D4_37091,D,D4,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,True,1292,3810.241448977762,True,usable
Group_D4_37091,D,D4,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,True,1292,709.3202722959282,True,usable
Group_D4_37091,D,D4,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,True,1292,167.00000740772435,True,usable
Group_D4_37091,D,D4,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_D5_37095,D,D5,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,True,1292,5226.24264078692,True,usable
Group_D5_37095,D,D5,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,True,1292,3624.042203603697,True,usable
Group_D5_37095,D,D5,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,True,1292,29.000001459205446,True,usable
Group_D5_37095,D,D5,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_D6_37111,D,D6,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,True,1292,99196.68623238556,True,usable
Group_D6_37111,D,D6,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,True,1292,58981.94667721583,True,usable
Group_D6_37111,D,D6,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,True,1292,38744.67424124726,True,usable
Group_D6_37111,D,D6,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,True,1292,9703.401691657453,True,usable
Group_D7_37137,D,D7,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,True,1292,92046.21748490767,True,usable
Group_D7_37137,D,D7,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,True,1292,55201.8457207798,True,usable
Group_D7_37137,D,D7,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,True,1292,29036.612550089183,True,usable
Group_D7_37137,D,D7,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,True,1292,6586.240835426268,True,usable
