mesh,group,split,optimum_sign_class,ratio_defined,tomo_best_yaw_deg,tomo_best_pitch_deg,tomo_best_vss,bbox_volume,nn_frac,score_cv,fixed_route,selected_source,verification_count,escalated,selected_yaw_deg,selected_pitch_deg,selected_vss,ratio_to_exhaustive_optimum,sftf_ave_vss,uniform_ave_vss,selected_branch_has_lower_surrogate_excess,sftf_grid_range_normalized_regret,uniform_grid_range_normalized_regret,grid_min_vss,grid_max_vss,grid_range_vss,surrogate_excess_vss,absolute_surrogate_error_vss,bbox_normalized_surrogate_excess,grid_range_normalized_regret,selected_grid_strictly_better_fraction,selected_value_tie_fraction,global_optimum_plateau_fraction,selected_is_global_optimum,nonnegative_clipped_excess_vss
Group_D2_37010,D,calibration,nonpositive,False,41.00000000256408,24.000000667860846,0.0,347263.16944787395,0.55,0.29407537665184164,uniform,first 200 farthest-point uniform axes,10,False,9.99999970909292,216.0000060107476,0.0,,0.0,0.0,True,0.0,0.0,0.0,46433.40150186838,46433.40150186838,0.0,0.0,0.0,0.0,0.0,0.0443673698022575,0.0443673698022575,True,0.0
Group_D3_37011,D,calibration,nonpositive,False,33.000000918308665,28.99999966863366,0.0,115306.160382225,0.55,0.5312539279883866,uniform,first 200 farthest-point uniform axes,10,False,214.99999801436604,151.00000534032267,1.0000000378763503,,834.0800596662789,1.0000000378763503,True,0.022293021849555922,2.6727677320152957e-05,0.0,37414.40103073751,37414.40103073751,1.0000000378763503,1.0000000378763503,8.672563847078764e-06,2.6727677320152957e-05,6.906024355245893e-05,4.6040162368305954e-05,6.906024355245893e-05,False,1.0000000378763503
Group_D4_37091,D,calibration,nonpositive,False,30.000000834826057,3.999999969014533,0.0,18165.269475839992,0.1,0.22062848926305614,uniform,first 200 farthest-point uniform axes,10,False,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,True,0.0,0.0,0.0,7940.669690281891,7940.669690281891,0.0,0.0,0.0,0.0,0.0,0.1327491348286155,0.1327491348286155,True,0.0
Group_D5_37095,D,calibration,nonpositive,False,37.999999919081475,28.99999966863366,0.0,40142.9980576606,0.5,0.45261927294020926,uniform,first 200 farthest-point uniform axes,10,False,323.00000101973984,209.99999901359323,0.0,,0.0,0.0,True,0.0,0.0,0.0,32265.860187120674,32265.860187120674,0.0,0.0,0.0,0.0,0.0,0.025935958134145686,0.025935958134145686,True,0.0
Group_D6_37111,D,calibration,positive,True,154.0000020087107,149.99999734394112,6638.081113169016,476477.24808105215,0.7,0.694631437847646,uniform,first 200 farthest-point uniform axes,50,True,336.0000093500518,30.000000834826057,6759.001203804962,1.018216121281805,6638.081113169016,6759.001203804962,False,0.0,0.0015421862057737976,6638.081113169016,85046.31105533316,78408.22994216415,120.9200906359456,120.9200906359456,0.00025377935908363927,0.0015421862057737976,7.673360394717659e-06,7.673360394717659e-06,7.673360394717659e-06,False,120.9200906359456
Group_D7_37137,D,calibration,positive,True,332.9999990212855,30.000000834826057,4442.1602871792375,499801.3157001435,0.35,0.4315911972762525,uniform,first 200 farthest-point uniform axes,50,True,332.9999990212855,30.000000834826057,4442.1602871792375,1.0,5003.481364447223,4442.1602871792375,True,0.004002816127026958,0.0,4442.1602871792375,144673.70214541096,140231.54185823174,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_D8_37402,D,calibration,positive,True,54.999999253784715,214.00000367836282,7554.828628035616,380746.24049634766,0.2,0.47328500677271007,uniform,first 200 farthest-point uniform axes,200,True,54.999999253784715,214.00000367836282,7554.828628035616,1.0,7554.828628035616,7554.828628035616,True,0.0,0.0,7554.828628035616,38389.529078459935,30834.70045042432,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_D9_37415,D,calibration,positive,True,214.99999801436604,358.99998836115276,9546.048385052642,377245.6603248282,0.0,0.4062588181149372,uniform,first 200 farthest-point uniform axes,50,True,214.99999801436604,358.99998836115276,9546.048385052642,1.0,9546.048385052642,9546.048385052642,True,0.0,0.0,9546.048385052642,46167.05445218677,36621.00606713413,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_E10_65942,E,calibration,positive,True,156.0000043410955,219.00000267913563,571.0000587888985,183970.976791645,0.6,0.25569882480555156,uniform,first 200 farthest-point uniform axes,10,False,333.9999933572887,318.9999963549702,1005.8801036235715,1.7616112085120645,748.5200550930559,1005.8801036235715,False,0.006953855491157349,0.017035224485848655,571.0000587888985,26099.28383314905,25528.283774360152,434.88004483467296,434.88004483467296,0.0023638513662249737,0.017035224485848655,0.0006215421919721304,1.5346720789435318e-05,7.673360394717659e-06,False,434.88004483467296
Group_E1_39507,E,calibration,positive,True,219.99999701513886,178.99999701257477,441.6001606578669,219736.02789279082,0.7,0.4787976935364964,uniform,first 200 farthest-point uniform axes,10,False,219.99999701513886,171.00000134341394,553.9201261583438,1.2543476554291781,563.0401294093487,553.9201261583438,True,0.006411688491797331,0.005930177993311563,441.6001606578669,19382.00391028538,18940.403749627512,112.31996550047688,112.31996550047688,0.0005111586232699072,0.005930177993311563,0.0002992610553939887,7.673360394717659e-06,7.673360394717659e-06,False,112.31996550047688
