mesh,coarse_count,top_k,window_degrees,candidate_pool_size,elapsed_sec,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,pool_hard_case,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,local_hard_case
Group_C4_happy_50k_0.75x.ply,1024,10,10.0,1804,2.0057729999971343,90.99999684048139,110.99999967376182,2112.4674268990507,8320.425167556637,3.938723533252496,True,4,175.00000600818353,275.99999402002135,21653.731007221315,10.250444921182726,3567,63.99999950423253,268.0000120112389,12949.782954759834,6.130169293909151,True
Group_C4_happy_50k_0.75x.ply,1024,20,10.0,1804,2.0057729999971343,90.99999684048139,110.99999967376182,2112.4674268990507,8320.425167556637,3.938723533252496,True,4,175.00000600818353,275.99999402002135,21653.731007221315,10.250444921182726,6264,118.99999534292266,90.99999684048139,3330.4208566334623,1.5765548922675126,False
Group_C4_happy_50k_0.75x.ply,2048,3,10.0,2828,3.3298660999862477,90.99999684048139,110.99999967376182,2112.4674268990507,4043.504718906623,1.9141145881914001,False,2,56.000000419977106,260.0000026816997,22602.37291824719,10.699513105120792,1059,63.99999950423253,268.0000120112389,12949.782954759834,6.130169293909151,True
Group_C4_happy_50k_0.75x.ply,2048,10,10.0,2828,3.3298660999862477,90.99999684048139,110.99999967376182,2112.4674268990507,4043.504718906623,1.9141145881914001,False,2,56.000000419977106,260.0000026816997,22602.37291824719,10.699513105120792,3234,63.99999950423253,268.0000120112389,12949.782954759834,6.130169293909151,True
Group_C4_happy_50k_0.75x.ply,2048,20,10.0,2828,3.3298660999862477,90.99999684048139,110.99999967376182,2112.4674268990507,4043.504718906623,1.9141145881914001,False,13,60.000001669652114,85.99999783970858,20998.162671554186,9.94011192985729,6923,273.00001101201167,71.00000083739013,6035.135797232636,2.8569130678108388,True
Group_C4_happy_50k_0.75x.ply,4096,3,10.0,4876,5.646406300002127,90.99999684048139,110.99999967376182,2112.4674268990507,4030.022739378874,1.9077324876410786,False,1,298.0000060158758,255.9999980169301,23119.544194749564,10.944331685477103,996,288.00000801433015,265.00000168247254,20649.89815073565,9.775250443055686,True
Group_C4_happy_50k_0.75x.ply,4096,10,10.0,4876,5.646406300002127,90.99999684048139,110.99999967376182,2112.4674268990507,4030.022739378874,1.9077324876410786,False,4,308.99999835342464,259.0000083456965,22751.676149604733,10.770190280757392,3224,31.999999752116263,269.0000063472421,17443.333775543968,8.257326741908404,True
Group_C4_happy_50k_0.75x.ply,4096,20,10.0,4876,5.646406300002127,90.99999684048139,110.99999967376182,2112.4674268990507,4030.022739378874,1.9077324876410786,False,4,308.99999835342464,259.0000083456965,22751.676149604733,10.770190280757392,5430,31.999999752116263,269.0000063472421,17443.333775543968,8.257326741908404,True
Group_C5_lucy_50k.ply,512,3,10.0,1292,1.823719300009543,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,1,357.99999402514953,176.99999468018999,14192.6816672333,2.8181675730355846,941,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,512,10,10.0,1292,1.823719300009543,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,2555,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
